cmun,municipality,population,number_of_houses,VDSL_30Mbps,fixed_wireless,FTTH,HFC,reception_30Mbps,reception_100Mbps,reception_1Gbps,4G,5G,"5G_3,5GHz"
5162,Navalperal de Tormes,81,254,0.0,0.92,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5163,Navaluenga,2.136,4.222,0.03,0.97,0.52,0.0,0.97,0.48,0.0,1.0,1.0,0.94
5164,Navaquesera,24,106,0.0,0.53,1.0,0.0,1.0,1.0,0.99,1.0,0.41,0.0
5165,Navarredonda de Gredos,429,655,0.11,0.85,0.94,0.0,0.99,0.96,0.93,1.0,0.99,0.0
5166,Navarredondilla,156,546,0.16,1.0,0.0,0.0,0.88,0.0,0.0,1.0,0.33,0.0
5167,Navarrevisca,289,606,0.23,0.83,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5168,Las Navas del Marqués,5.268,4.889,0.13,0.96,0.98,0.0,0.94,0.88,0.88,1.0,0.99,0.0
5169,Navatalgordo,238,494,0.09,0.96,0.74,0.0,0.99,0.73,0.74,1.0,0.98,0.0
5170,Navatejares,58,241,0.0,1.0,0.0,0.0,0.95,0.0,0.0,1.0,1.0,0.0
5171,Neila de San Miguel,64,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.01,0.0
5172,Niharra,164,184,0.17,0.1,0.99,0.0,1.0,0.99,0.97,1.0,0.88,0.0
5173,Ojos-Albos,83,142,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.61,0.65,0.0
5174,Orbita,79,83,0.18,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.23,0.0
5175,El Oso,144,162,0.0,0.06,0.99,0.0,1.0,0.99,0.99,1.0,0.39,0.0
5176,Padiernos,287,328,0.08,0.12,0.95,0.0,0.99,0.0,0.0,1.0,0.29,0.0
5177,Pajares de Adaja,127,192,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.63,0.0
5178,Palacios de Goda,384,314,0.0,0.54,0.92,0.0,0.99,0.0,0.86,1.0,0.14,0.0
5179,Papatrigo,230,240,0.0,0.74,0.96,0.0,0.96,0.93,0.93,0.99,0.0,0.0
