cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,total_population
5159,navalonguilla,avila,16,8,8,58,278,368
5160,navalosa,avila,40,16,76,140,372,644
5161,navalperal,avila,270,96,146,384,752,1648
5162,navalperal,avila,12,6,6,42,88,154
5163,navaluenga,avila,566,222,338,1142,2086,4354
5164,navaquesera,avila,2,2,8,16,58,86
5165,navarredonda,avila,100,46,82,254,426,908
5166,navarredondilla,avila,24,16,24,74,182,320
5167,navarrevisca,avila,58,26,66,152,300,602
5168,navas,avila,2374,802,1134,3220,3656,11186
5169,navatalgordo,avila,28,20,46,80,302,476
5170,navatejares,avila,4,8,0,12,76,100
5171,neila,avila,4,4,0,48,68,124
5172,niharra,avila,38,20,64,102,156,380
5173,ojos-albos,avila,16,4,6,72,98,196
5174,orbita,avila,10,10,4,50,68,142
5175,"oso,",avila,12,8,20,64,154,258
5176,padiernos,avila,80,30,38,150,252,550
5177,pajares,avila,14,8,26,74,152,274
5178,palacios,avila,84,46,68,218,388,804
5179,papatrigo,avila,42,34,34,88,244,442
5180,"parral,",avila,2,2,10,28,88,130
5181,pascualcobo,avila,0,0,6,18,54,78
5182,pedro,avila,122,62,110,344,908,1546
5183,pedro-rodriguez,avila,16,12,14,54,162,258
5184,peguerinos,avila,62,14,66,168,288,598
5185,penalba,avila,24,12,20,56,100,212
5186,piedrahita,avila,350,216,238,798,1710,3312
5187,piedralaves,avila,554,266,342,1344,1826,4332
5188,poveda,avila,4,6,6,8,42,66
5189,poyales,avila,90,58,72,242,522,984
5190,pozanco,avila,0,4,14,34,66,118
5191,pradosegar,avila,14,14,22,48,138,236
5192,puerto,avila,14,6,10,56,110,196
5193,rasueros,avila,6,12,18,52,234,322
5194,riocabado,avila,4,14,32,52,148,250
5195,riofrio,avila,6,2,22,96,256,382
5196,rivilla,avila,10,14,6,38,44,112
5197,salobral,avila,20,8,26,66,92,212
5198,salvadios,avila,6,6,12,32,84,140
5199,san,avila,10,4,14,22,48,98
5200,san,avila,4,4,0,14,48,70
5201,san,avila,54,58,90,250,528,980
5204,sanchidrian,avila,140,82,150,352,688,1412
5205,sanchorreja,avila,6,10,14,20,108,158
5206,san,avila,2,0,4,6,28,40
5207,san,avila,146,82,112,304,824,1468
5208,san,avila,0,2,4,16,58,80
5209,san,avila,2,2,4,28,96,132
5210,san,avila,6,0,8,36,90,140
5211,san,avila,56,62,98,184,454,854
5212,san,avila,30,28,20,146,250,474
5213,san,avila,2,4,12,40,112,170
5214,san,avila,0,0,0,10,50,60
5215,san,avila,16,8,18,82,182,306
5216,san,avila,34,8,50,110,236,438
5217,san,avila,6,10,16,46,66,144
5218,san,avila,14,10,18,54,118,214
5219,san,avila,14,0,16,22,36,88
5220,san,avila,128,54,104,256,460,1002
5221,santa,avila,30,28,44,120,390,612
5222,santa,avila,32,16,40,84,174,346
5224,santa,avila,8,8,22,40,126,204
5225,santa,avila,74,48,50,144,444,760
5226,santa,avila,14,4,20,28,78,144
5227,santa,avila,200,54,92,342,416,1104
5228,santiago,avila,6,20,10,86,212,334
5229,santo,avila,6,6,8,42,78,140
5230,santo,avila,2,6,8,48,88,152
5231,san,avila,20,28,28,82,174,332
5232,"serrada,",avila,34,20,20,74,124,272
5233,serranillos,avila,32,30,54,126,262,504
5234,sigeres,avila,4,0,4,12,70,90
5235,sinlabajos,avila,12,4,32,44,182,274
5236,solana,avila,14,6,10,50,120,200
5237,solana,avila,16,10,14,62,176,278
5238,solosancho,avila,114,92,142,394,774,1516
5239,sotalbo,avila,38,30,72,136,224,500
5240,sotillo,avila,1782,726,918,3018,3490,9934
5241,"tiemblo,",avila,1560,630,828,2554,3524,9096
5242,tinosillos,avila,184,92,164,454,624,1518
5243,tolbanos,avila,24,6,14,50,86,180
5244,tormellas,avila,0,2,4,10,54,70
5245,tornadizos,avila,148,74,100,288,330,940
5246,tortoles,avila,2,2,8,6,58,76
5247,"torre,",avila,34,12,30,74,282,432
5249,umbrias,avila,10,12,30,44,104,200
5251,vadillo,avila,0,0,0,34,66,100
5252,valdecasa,avila,8,2,10,26,66,112
5253,vega,avila,20,8,8,54,82,172
5254,velayos,avila,42,36,28,106,224,436
5256,villaflor,avila,2,4,16,44,132,198
5257,villafranca,avila,10,10,22,84,144,270
5258,villanueva,avila,16,14,16,46,140,232
5259,villanueva,avila,14,8,10,50,102,184
5260,villanueva,avila,10,4,4,68,116,202
5261,villar,avila,0,4,2,18,48,72
5262,villarejo,avila,30,24,54,132,388,628
5263,villatoro,avila,16,16,30,70,188,320
5264,vinegra,avila,8,0,12,24,60,104
5265,vita,avila,12,12,22,28,78,152
5266,zapardiel,avila,4,4,16,26,118,168
5267,zapardiel,avila,6,18,12,52,94,182
5901,san,avila,14,12,32,100,294,452
5902,santa,avila,44,44,72,132,348,640
5903,diego,avila,4,10,10,46,142,212
5904,santiago,avila,12,12,18,62,114,218
5905,villanueva,avila,6,16,34,102,296,454
6001,acedera,badajoz,242,110,150,480,628,1610
6002,aceuchal,badajoz,1828,854,1350,3172,3612,10816
6003,ahillones,badajoz,148,112,130,366,818,1574
6004,alange,badajoz,528,246,416,966,1462,3618
6005,"albuera,",badajoz,682,190,410,1206,1536,4024
6006,alburquerque,badajoz,1436,628,1082,2660,4184,9990
6007,alconchel,badajoz,448,230,376,910,1292,3256
6008,alconera,badajoz,250,92,156,422,594,1514
6009,aljucen,badajoz,54,28,66,130,232,510
6010,almendral,badajoz,320,182,298,626,974,2400
6011,almendralejo,badajoz,13336,5142,7960,21102,20934,68474
6012,arroyo,badajoz,1430,616,1048,2266,2750,8110
6013,atalaya,badajoz,44,34,54,124,260,516
6014,azuaga,badajoz,2312,1078,1504,4136,6182,15212
6015,badajoz,badajoz,53986,22698,33484,92192,99932,302292
6016,barcarrota,badajoz,998,580,762,1960,2658,6958
6017,baterno,badajoz,26,46,34,108,262,476
6018,benquerencia,badajoz,134,118,158,376,792,1578
6019,berlanga,badajoz,570,272,422,1182,1992,4438
6020,bienvenida,badajoz,514,368,412,1022,1720,4036
6021,bodonal,badajoz,276,108,192,522,888,1986
6022,burguillos,badajoz,830,402,650,1490,2582,5954
6023,cabeza,badajoz,1166,566,958,2190,4160,9040
6024,cabeza,badajoz,314,188,244,632,1142,2520
6025,calamonte,badajoz,1908,934,1454,3612,4382,12290
6026,calera,badajoz,224,152,186,500,772,1834
6027,calzadilla,badajoz,162,108,186,322,596,1374
6028,campanario,badajoz,1294,696,1072,2356,3992,9410
6029,campillo,badajoz,356,188,272,730,1096,2642
6030,capilla,badajoz,10,26,32,60,162,290
6031,carmonita,badajoz,122,90,122,244,468,1046
6032,"carrascalejo,",badajoz,10,12,14,42,76,154
6033,casas,badajoz,316,186,238,714,1288,2742
6034,casas,badajoz,60,20,38,110,184,412
6035,castilblanco,badajoz,150,76,120,392,948,1686
6036,castuera,badajoz,1468,736,1126,2888,4782,11000
6037,"codosera,",badajoz,420,266,364,1044,1940,4034
6038,cordobilla,badajoz,202,116,180,402,758,1658
6039,"coronada,",badajoz,686,320,544,1186,1562,4298
6040,corte,badajoz,306,192,306,664,906,2374
6041,cristina,badajoz,196,80,138,316,366,1096
6042,cheles,badajoz,386,174,310,632,852,2354
6043,don,badajoz,202,100,196,436,694,1628
6044,don,badajoz,14082,5580,8396,23046,24438,75542
6045,entrin,badajoz,172,76,116,316,456,1136
6046,esparragalejo,badajoz,420,220,328,814,1202,2984
6047,esparragosa,badajoz,300,136,230,490,708,1864
6048,esparragosa,badajoz,188,82,166,454,820,1710
6049,feria,badajoz,238,170,178,542,962,2090
6050,fregenal,badajoz,1394,664,1096,2590,3736,9480
6051,fuenlabrada,badajoz,500,232,336,920,1426,3414
6052,fuente,badajoz,1416,698,1118,2404,3548,9184
6053,fuente,badajoz,156,96,112,332,620,1316
6054,fuente,badajoz,2100,1118,1572,3774,4656,13220
6055,fuentes,badajoz,500,296,522,1108,1894,4320
6056,garbayuela,badajoz,84,46,96,236,488,950
6057,garlitos,badajoz,98,60,82,192,626,1058
6058,"garrovilla,",badajoz,652,364,460,1364,1754,4594
6059,granja,badajoz,428,206,380,932,1860,3806
6060,guarena,badajoz,2102,1028,1354,3684,5128,13296
6061,"haba,",badajoz,296,198,292,532,1110,2428
6062,helechosa,badajoz,108,60,100,314,542,1124
6063,herrera,badajoz,988,416,738,1850,2822,6814
6064,higuera,badajoz,186,102,190,416,882,1776
6065,higuera,badajoz,96,42,78,182,284,682
6066,higuera,badajoz,480,222,490,942,1580,3714
6067,higuera,badajoz,576,330,502,1138,1866,4412
6068,hinojosa,badajoz,164,66,110,250,388,978
6069,hornachos,badajoz,978,578,654,1852,2746,6808
6070,jerez,badajoz,2682,1348,2088,5312,6838,18268
6071,"lapa,",badajoz,76,40,70,134,272,592
6072,lobon,badajoz,1022,318,544,1662,1918,5464
6073,llera,badajoz,250,126,146,430,658,1610
6074,llerena,badajoz,1820,754,1266,3300,4178,11318
6075,magacela,badajoz,78,76,96,246,502,998
6076,maguilla,badajoz,256,122,188,528,772,1866
6077,malcocinado,badajoz,60,34,60,158,380,692
6078,malpartida,badajoz,94,74,126,254,492,1040
6079,manchita,badajoz,222,92,200,400,562,1476
6080,medellin,badajoz,714,286,536,1194,1744,4474
6081,medina,badajoz,290,164,214,586,1074,2328
6082,mengabril,badajoz,134,78,116,306,346,980
6083,merida,badajoz,21908,9542,12808,36750,38780,119788
6084,mirandilla,badajoz,370,192,296,694,942,2494
6085,monesterio,badajoz,1356,656,926,2454,3074,8466
6086,montemolin,badajoz,282,168,178,660,1246,2534
6087,monterrubio,badajoz,568,262,388,1120,2054,4392
6088,montijo,badajoz,5094,2208,3356,8748,11026,30432
6089,"morera,",badajoz,174,128,122,390,600,1414
6090,nava,badajoz,234,118,210,432,846,1840
6091,navalvillar,badajoz,1232,596,912,2432,3510,8682
6092,nogales,badajoz,192,78,152,330,528,1280
6093,oliva,badajoz,1382,688,1112,2648,4036,9866
6094,oliva,badajoz,548,244,372,886,1312,3362
6095,olivenza,badajoz,3988,1828,2640,6836,8180,23472
6096,orellana,badajoz,38,20,28,128,308,522
6097,orellana,badajoz,648,328,560,1344,2290,5170
6098,palomas,badajoz,258,100,142,366,456,1322
6099,"parra,",badajoz,328,218,334,676,1016,2572
6100,penalsordo,badajoz,100,68,138,310,1034,1650
6101,peraleda,badajoz,106,66,68,228,490,958
6102,puebla,badajoz,242,162,202,548,1060,2214
6103,puebla,badajoz,1936,904,1276,3526,4066,11708
6104,puebla,badajoz,146,90,198,324,638,1396
6105,puebla,badajoz,120,94,100,320,680,1314
6106,puebla,badajoz,138,56,96,262,370,922
6107,puebla,badajoz,528,246,398,1004,1442,3618
6108,puebla,badajoz,800,360,558,1520,2038,5276
6109,quintana,badajoz,1274,702,1052,2374,3518,8920
6110,reina,badajoz,12,18,22,62,170,284
6111,rena,badajoz,242,86,158,300,442,1228
6112,retamal,badajoz,110,50,88,220,392,860
6113,ribera,badajoz,990,500,670,1820,2420,6400
6114,risco,badajoz,20,6,26,46,156,254
6115,roca,badajoz,414,192,332,838,1126,2902
6116,salvaleon,badajoz,406,206,380,842,1476,3310
6117,salvatierra,badajoz,432,212,330,834,1308,3116
6118,sancti-spiritus,badajoz,12,16,14,62,184,288
6119,san,badajoz,304,128,180,484,638,1734
6120,santa,badajoz,1118,664,920,2172,2952,7826
6121,santa,badajoz,1440,702,862,2394,2884,8282
6122,santos,badajoz,2850,1172,1990,4514,5676,16202
6123,san,badajoz,1516,724,1120,2996,4056,10412
6124,segura,badajoz,370,272,392,844,1704,3582
6125,siruela,badajoz,384,182,372,816,1790,3544
6126,solana,badajoz,788,422,580,1326,1984,5100
6127,talarrubias,badajoz,944,488,702,1702,2668,6504
6128,talavera,badajoz,1836,762,1260,3284,3776,10918
6129,taliga,badajoz,192,100,122,350,556,1320
6130,tamurejo,badajoz,44,34,34,78,208,398
6131,torre,badajoz,350,160,302,674,1006,2492
6132,torremayor,badajoz,252,128,230,530,866,2006
6133,torremejia,badajoz,854,354,554,1250,1454,4466
6134,trasierra,badajoz,144,106,156,304,472,1182
6135,trujillanos,badajoz,490,224,342,836,888,2780
6136,usagre,badajoz,496,220,452,848,1442,3458
6137,valdecaballeros,badajoz,228,86,194,494,1090,2092
6138,valdetorres,badajoz,286,152,288,560,988,2274
6139,valencia,badajoz,82,48,92,222,516,960
6140,valencia,badajoz,178,102,160,362,616,1418
6141,valencia,badajoz,444,314,350,912,1758,3778
6142,valverde,badajoz,42,20,62,122,296,542
6143,valverde,badajoz,1440,732,978,2464,2848,8462
6144,valverde,badajoz,122,80,96,240,588,1126
6145,valverde,badajoz,262,144,250,548,816,2020
6146,valle,badajoz,206,142,250,502,1084,2184
6147,valle,badajoz,52,42,54,144,374,666
6148,valle,badajoz,342,158,224,614,882,2220
6149,villafranca,badajoz,4272,1950,2584,7096,8806,24708
6150,villagarcia,badajoz,238,118,194,480,758,1788
6151,villagonzalo,badajoz,360,178,274,590,1048,2450
6152,villalba,badajoz,370,214,378,790,1166,2918
6153,villanueva,badajoz,9040,3832,5552,15036,18000,51460
6154,villanueva,badajoz,978,564,806,1766,2474,6588
6155,villar,badajoz,544,296,494,1114,1716,4164
6156,villar,badajoz,318,214,310,692,1112,2646
6157,villarta,badajoz,48,52,68,166,454,788
6158,zafra,badajoz,5610,2470,3424,9934,11922,33360
6159,zahinos,badajoz,934,378,726,1582,1916,5536
6160,zalamea,badajoz,898,448,828,1726,2960,6860
6161,zarza-capilla,badajoz,44,26,62,132,330,594
6162,"zarza,",badajoz,1072,510,776,1806,2536,6700
6901,valdelacalzada,badajoz,970,366,624,1690,1856,5506
6902,pueblonuevo,badajoz,642,232,398,1158,1472,3902
6903,guadiana,badajoz,752,392,536,1454,1752,4886
7001,alaro,"balears,",2276,982,1260,3996,3652,12166
7002,alaior,"balears,",3206,1560,2394,6326,6830,20316
7003,alcudia,"balears,",7412,3660,6654,14720,11704,44150
7004,algaida,"balears,",2252,852,1112,4294,4158,12668
7005,andratx,"balears,",4274,1768,2978,8006,7450,24476
7006,artà,"balears,",2844,1280,2096,5186,5566,16972
7007,banyalbufar,"balears,",142,68,114,372,464,1160
7008,binissalem,"balears,",3646,1570,1882,6166,5314,18578
7009,buger,"balears,",428,132,226,790,826,2402
7010,bunyola,"balears,",2646,1284,1446,4686,4990,15052
7011,calvià,"balears,",17408,8076,13784,34578,33806,107652
7012,campanet,"balears,",932,364,668,1668,1992,5624
7013,campos,"balears,",4594,1732,2714,8010,7334,24384
7014,capdepera,"balears,",4092,1982,3866,8538,7654,26132
7015,ciutadella,"balears,",10128,5430,8232,20422,20130,64342
7016,consell,"balears,",1782,682,872,3050,2408,8794
7017,costitx,"balears,",578,168,312,1020,1006,3084
7018,deià,"balears,",178,82,244,436,524,1464
7019,escorca,"balears,",22,24,72,94,198,410
7020,esporles,"balears,",2008,788,1060,3332,3418,10606
7021,estellencs,"balears,",92,40,100,208,318,758
7022,felanitx,"balears,",7278,2728,4628,10966,12172,37772
7023,ferreries,"balears,",1752,782,1302,3092,3324,10252
7024,formentera,"balears,",3300,1466,3392,8764,6044,22966
7025,fornalutx,"balears,",214,134,122,392,570,1432
7026,eivissa,"balears,",16472,7600,17208,38216,26960,106456
7027,inca,"balears,",13960,5760,9270,22532,19270,70792
7028,lloret,"balears,",636,186,330,1082,1026,3260
7029,lloseta,"balears,",2566,988,1470,4132,3916,13072
7030,llubi,"balears,",970,388,550,1548,1608,5064
7031,llucmajor,"balears,",13918,6040,9018,26796,23846,79618
7032,mao,"balears,",9868,5104,7610,19012,19692,61286
7033,manacor,"balears,",18716,7702,12938,29282,27122,95760
7034,mancor,"balears,",732,242,296,1200,938,3408
7035,maria,"balears,",830,314,542,1354,1742,4782
7036,marratxi,"balears,",15346,6640,8306,25568,24254,80114
7037,"mercadal,","balears,",1832,968,1612,4018,3896,12326
7038,montuïri,"balears,",1124,448,650,1954,2220,6396
7039,muro,"balears,",3276,1180,2064,4848,4904,16272
7040,palma,"balears,",138828,71332,124158,282170,259980,876468
7041,petra,"balears,",1130,492,698,1838,2272,6430
7042,pollença,"balears,",5772,2402,4470,10300,12152,35096
7043,porreres,"balears,",2326,792,1322,3642,3700,11782
7044,"pobla,","balears,",6166,2370,3728,8748,8426,29438
7045,puigpunyent,"balears,",800,330,352,1346,1310,4138
7046,sant,"balears,",9464,3958,8760,21372,14214,57768
7047,sencelles,"balears,",1366,538,754,2652,2658,7968
7048,sant,"balears,",9696,3708,8594,23352,15610,60960
7049,sant,"balears,",840,244,490,1318,1598,4490
7050,sant,"balears,",2274,896,1534,5082,3990,13776
7051,sant,"balears,",3242,1428,2394,5870,6064,18998
7052,sant,"balears,",2140,1134,1658,4510,5078,14520
7053,santa,"balears,",676,258,432,1160,1312,3838
7054,santa,"balears,",13478,5568,11488,31440,22036,84010
7055,santa,"balears,",4720,2030,3744,8934,8082,27510
7056,santa,"balears,",3004,1230,1570,4906,4564,15274
7057,santanyi,"balears,",3990,1826,3412,7856,8572,25656
7058,selva,"balears,",1502,558,806,2666,3012,8544
7059,"salines,","balears,",1628,678,1162,3112,3578,10158
7060,sineu,"balears,",1612,722,950,2912,2750,8946
7061,soller,"balears,",4372,2106,3274,8292,9676,27720
7062,son,"balears,",4390,1820,3422,7624,7642,24898
7063,valldemossa,"balears,",576,274,496,1200,1548,4094
7064,"castell,","balears,",2170,1256,1906,5002,5398,15732
7065,vilafranca,"balears,",1538,580,1006,2310,2222,7656
7901,ariany,"balears,",350,134,232,596,764,2076
7902,migjorn,"balears,",450,244,488,1102,1090,3374
8001,abrera,barcelona,4966,2186,2462,8748,7600,25962
8002,aguilar,barcelona,122,36,38,186,200,582
8003,alella,barcelona,3820,1510,1754,6076,7240,20400
8004,alpens,barcelona,72,34,66,134,234,540
8005,ametlla,barcelona,3666,1574,1806,5946,5904,18896
8006,arenys,barcelona,5290,2296,3208,9726,12506,33026
8007,arenys,barcelona,3270,1536,1974,5882,6226,18888
8008,argençola,barcelona,98,12,70,134,168,482
8009,argentona,barcelona,4672,2156,2478,7696,8698,25700
8010,artes,barcelona,2170,968,1280,3700,3984,12102
8011,avià,barcelona,754,300,424,1340,1666,4484
8012,avinyo,barcelona,766,370,520,1282,1684,4622
8013,avinyonet,barcelona,538,272,332,1124,1224,3490
8014,aiguafreda,barcelona,748,400,514,1546,1956,5164
8015,badalona,barcelona,80560,34830,50762,137284,149002,452438
8016,bagà,barcelona,548,286,420,1108,2000,4362
8017,balenyà,barcelona,1352,650,898,2494,2604,7998
8018,balsareny,barcelona,934,458,650,1948,2660,6650
8019,barcelona,barcelona,474388,248596,529436,992468,1127528,3372416
8020,begues,barcelona,2996,1320,1462,4502,4598,14878
8021,bellprat,barcelona,10,6,12,32,78,138
8022,berga,barcelona,5492,2632,3782,9626,12858,34390
8023,bigues,barcelona,3680,1728,1906,6600,6156,20070
8024,borredà,barcelona,108,54,80,204,406,852
8025,"bruc,",barcelona,854,316,422,1760,1234,4586
8026,"brull,",barcelona,118,62,50,154,202,586
8027,"cabanyes,",barcelona,432,186,168,654,582,2022
8028,cabrera,barcelona,572,226,356,1272,998,3424
8029,cabrera,barcelona,1814,768,1006,2978,3462,10028
8030,cabrils,barcelona,2902,1522,1470,4426,5208,15528
8031,calaf,barcelona,1446,518,778,1960,2488,7190
8032,caldes,barcelona,1010,518,620,1998,2336,6482
8033,caldes,barcelona,6402,2962,3956,11258,12090,36668
8034,calders,barcelona,394,140,238,678,778,2228
8035,calella,barcelona,6676,3040,3976,12142,14580,40414
8036,calonge,barcelona,46,18,30,84,170,348
8037,calldetenes,barcelona,972,388,602,1654,1764,5380
8038,callus,barcelona,828,336,394,1358,1386,4302
8039,campins,barcelona,216,104,118,380,400,1218
8040,canet,barcelona,4920,2344,2752,9066,11188,30270
8041,canovelles,barcelona,7038,3070,3838,10696,9886,34528
8042,cànoves,barcelona,1232,482,642,2254,2008,6618
8043,canyelles,barcelona,1886,810,966,3806,3252,10720
8044,capellades,barcelona,1866,890,1176,3358,3826,11116
8045,capolat,barcelona,42,14,14,56,58,184
8046,cardedeu,barcelona,7460,3096,3548,12348,11730,38182
8047,cardona,barcelona,1330,608,864,2360,3970,9132
8048,carme,barcelona,244,134,150,490,620,1638
8049,casserres,barcelona,540,158,302,978,1372,3350
8050,castellar,barcelona,64,28,16,108,110,326
8051,castellar,barcelona,9116,4502,4936,15548,16500,50602
8052,castellar,barcelona,18,20,40,86,164,328
8053,castellbell,barcelona,1398,662,838,2778,2584,8260
8054,castellbisbal,barcelona,5104,2384,2754,8208,7480,25930
8055,castellcir,barcelona,302,122,148,476,508,1556
8056,castelldefels,barcelona,24762,11038,14872,46568,41152,138392
8057,castell,barcelona,8,10,12,46,62,138
8058,castellet,barcelona,954,370,558,1692,1756,5330
8059,castellfollit,barcelona,156,64,94,238,368,920
8060,castellfollit,barcelona,42,10,30,66,154,302
8061,castellgali,barcelona,870,324,470,1640,1374,4678
8062,castellnou,barcelona,612,236,202,1018,792,2860
8063,castelloli,barcelona,262,116,126,454,360,1318
8064,castellterçol,barcelona,882,438,554,1612,2046,5532
8065,castellvi,barcelona,586,284,340,1030,1188,3428
8066,castellvi,barcelona,738,310,408,1322,1418,4196
8067,centelles,barcelona,2714,1138,1498,4826,5366,15542
8068,cervello,barcelona,3590,1370,1918,6168,6220,19266
8069,collbato,barcelona,1860,988,754,3242,2850,9694
8070,collsuspina,barcelona,172,44,56,236,272,780
8071,copons,barcelona,144,54,54,236,216,704
8072,corbera,barcelona,5754,2686,3260,10200,9666,31566
8073,cornellà,barcelona,30336,14400,21538,55224,60894,182392
8074,cubelles,barcelona,6068,2606,3042,11540,11344,34600
8075,dosrius,barcelona,2438,884,1160,4294,3528,12304
8076,esparreguera,barcelona,7882,3708,4874,14274,14260,44998
