,longitude,municipality,latitude
586,-0.665348,Jasa,42.69462
587,-2.302436,Zúñiga,42.69436
588,-8.639425,Valga,42.69431
589,-1.640636,Tiebas-Muruarte de Reta,42.69312
590,-8.792709,"Capela, A",42.69293
591,-1.678763,Biurrun-Olcoz,42.69229
592,-2.37,Campezo/Kanpezu,42.69194
593,-3.473988,Salas de Bureba,42.69194
594,-1.838678,Artazu,42.69187
595,-4.462027,Micieces de Ojeda,42.6907
596,-0.3062892,Hoz de Jaca,42.69039
597,-1.770907,Muruzábal,42.68972
598,-8.491302,"Estrada, A",42.68958
599,-2.947593,Miranda de Ebro,42.68734
600,-4.227346,Rebolledo de la Torre,42.68719
601,-1.735999,Adiós,42.68629
602,-5.366673,Vegas del Condado,42.68404
603,-5.869652,"Omañas, Las",42.68332
604,0.6169444,Aisa,42.68278
605,-2.860401,Berantevilla,42.68245
606,-4.347817,Prádanos de Ojeda,42.68245
607,-3.32677,Navas de Bureba,42.68237
608,-1.231362,Romanzado/Erromantzatua,42.68146
609,-4.817978,Fresno del Río,42.68124
610,-1.467222,Ibargoiti,42.68056
611,-0.5308006,Villanúa,42.67982
612,-1.785792,Obanos,42.67956
613,-3.237395,Cascajares de Bureba,42.67904
614,-1.044187,Castillonuevo,42.67852
615,-2.129596,Metauten,42.67667
616,-1.891569,Cirauqui/Zirauki,42.67577
617,-1.706602,Ucar,42.67572
618,-3.19961,Miraveche,42.67471
619,-4.609769,"Puebla de Valdavia, La",42.67352
620,-1.815331,Puente la Reina/Gares,42.67213
621,-1.728613,Enériz/Eneritz,42.67083
622,-4.527061,Báscones de Ojeda,42.67077
623,-1.86277,Mañeru,42.66977
624,-1.004887,Salvatierra de Esca,42.66882
625,-3.299189,Quintanaélez,42.6687
626,-4.083444,Humada,42.66822
627,-6.632887,Sancedo,42.668
628,-3.084554,Encío,42.66777
629,-8.722511,Catoira,42.66665
630,-3.501162,Poza de la Sal,42.66542
631,-6.945935,Vega de Valcarce,42.66407
632,-6.04526,Quintana del Castillo,42.66161
633,-8.110957,Lalín,42.66137
634,-2.879353,Zambrana,42.65998
635,-4.311825,Alar del Rey,42.65989
636,-3.264715,Busto de Bureba,42.65941
637,-1.993951,Villatuerta,42.6594
638,-4.385033,"Vid de Ojeda, La",42.65922
639,-5.035989,Almanza,42.65903
640,-0.5881645,Borau,42.65874
641,-2.19008,Ancín/Antzin,42.65845
642,-1.714662,Añorbe,42.65805
643,-1.702654,Tirapu,42.65747
644,-2.038433,Ayegui/Aiegi,42.65673
645,-3.061546,Ameyugo,42.65606
646,-2.154553,Murieta,42.65601
647,-5.174273,Cubillas de Rueda,42.65549
648,-1.307247,Lumbier,42.65289
649,-1.625873,Unzué/Untzue,42.65227
650,-8.81842,Rianxo,42.65199
651,-5.633333,Sariegos,42.65
652,-8.9,Boiro,42.65
653,-7.949817,Rodeiro,42.64951
654,-6.882131,Trabadelo,42.64945
655,-3.017947,Bugedo,42.64932
656,-3.162595,Villanueva de Teba,42.64913
657,-2.173456,Legaria,42.64911
658,-7.33,"Incio, O",42.64861
659,-7.654811,"Saviñao, O",42.64709
660,-2.143441,Abáigar,42.64694
661,-4.692118,Tabanera de Valdavia,42.64664
662,-3.391559,"Barrios de Bureba, Los",42.64565
663,-1.519539,Leoz/Leotz,42.64524
664,-2.084984,Igúzquiza,42.64522
665,-2.391769,Genevilla,42.64478
666,-4.807833,Pino del Río,42.64439
667,-2.713375,Peñacerrada-Urizaharra,42.6441
668,-6.319312,Folgoso de la Ribera,42.64359
669,-2.234998,Mendaza,42.64162
670,-6.68601,Arganza,42.64045
671,-3.206735,Cubo de Bureba,42.64042
